key,version,display_name,PRICING,license_key,license_version,Shown on Market,id,description,MD comment
MODEL_LOUIS_HAND_POSABLE,3.0.0,Louis Right Hand V3.0 (Not shown),ViP V3,MODEL_LOUIS_HAND_POSABLE,V3.0,,131,Virtual Population Model - Louis Right Hand V3.0,
MODEL_ROBERTA_HAND_POSABLE,3.0.0,Roberta Right Hand V3.0 (Not shown),ViP V3,MODEL_ROBERTA_HAND_POSABLE,V3.0,,132,Virtual Population Model - Roberta Right Hand V3.0,
MODEL_THELONIOUS_HAND_POSABLE,3.0.0,Thelonious Right Hand V3.0 (Not shown),ViP V3,MODEL_THELONIOUS_HAND_POSABLE,V3.0,,133,Virtual Population Model - Thelonious Right Hand V3.0,
MODEL_YOONSUN_HAND_POSABLE,3.0.0,Yoon-sun Right Hand V3.1 (Not shown),ViP V3,MODEL_YOONSUN_HAND_POSABLE,v3.0,,134,Virtual Population Model - Yoon-sun Right Hand V3.1,
CMODEL_JEDUK_POSABLE,4.0.0,Jeduk V4.0,ViP V4,CMODEL_JEDUK_POSABLE,V4.0,ok,119,Virtual Population Model - Jeduk V4.0,
CMODEL_YOONSUN_POSABLE,4.0.0,Yoon-sun cV4.0,ViP V4,CMODEL_YOONSUN_POSABLE,V4.0,,118,Virtual Population Model - Yoon-sun cViP4.0 - Posable,
MODEL_DIGIMOUSE_POSABLE,1.0.0,Diggy Mouse V1.0,ViZoo V1,MODEL_DIGIMOUSE_POSABLE,V1.0,ok,97,Animal Models - Diggy Mouse,
MODEL_MOUSE_12W_F_POSABLE,1.0.0,12 Week Female Mouse V1.0,ViZoo V1,MODEL_MOUSE_12W_F_POSABLE,V1.0,ok,139,Animal Models - 12 Week Female Mouse (B6C3F1) V1.0,
MODEL_MOUSE_12W_M_POSABLE,1.0.0,12 Week Male Mouse V1.0,ViZoo V1,MODEL_MOUSE_12W_M_POSABLE,V1.0,ok,140,Animal Models - 12 Week Male Mouse (B6C3F1) V1.0,
MODEL_MOUSE_3W_M_POSABLE,1.0.0,3 Week Male Mouse V1.0,ViZoo V1,MODEL_MOUSE_3W_M_POSABLE,V1.0,ok,138,Animal Models - 3 Week Male Mouse (B6C3F1) V1.0,
MODEL_MOUSE_E19_F_POSABLE,1.0.0,Pregnant Mouse (C57BL/6N) V1.0,ViZoo V1,MODEL_MOUSE_E19_F_POSABLE,V1.0,ok,141,Animal Models - Pregnant Mouse (C57BL/6N) V1.0,
MODEL_MOUSE17_F,1.0.0,Female OF1 Mouse V1.0,ViZoo V1,MODEL_MOUSE17_F,V1.0,ok,28,Animal Models - Female OF1 Mouse V1-x,
MODEL_MOUSE198_M,1.0.0,Small Male RatV1.0,ViZoo V1,MODEL_MOUSE198_M,V1.0,ok,22,Animal Models - Small Male Rat V1-x,
MODEL_MOUSE29_FF,1.0.0,Pregnant Mouse (B6C3F1) V1.0,ViZoo V1,MODEL_MOUSE29_FF,V1.0,ok,29,Animal Models - Pregnant Mouse (B6C3F1) V1.0,
MODEL_MOUSE36_M,1.0.0,Male OF1 Mouse V1.0,ViZoo V1,MODEL_MOUSE36_M,V1.0,ok,27,Animal Models - Male OF1 Mouse V1-x,
MODEL_MOUSE45_M,1.0.0,Male PIM1 Mouse V1.0,ViZoo V1,MODEL_MOUSE45_M,V1.0,ok,26,Animal Models - Male PIM1 Mouse V1-x,
MODEL_RAT14,1.0.0,Rat Pup V1.0,ViZoo V1,MODEL_RAT14,V1.0,ok,25,Animal Models - Rat Pup V1-x,
MODEL_RAT275_FF,1.0.0,Pregnant Rat V1.0,ViZoo V1,MODEL_RAT275_FF,V1.0,ok,24,Animal Models - Pregnant Rat V1-x,
MODEL_RAT503F,1.0.0,Female Rat with Tumor V1.0,ViZoo V1,MODEL_RAT503F,V1.0,ok,23,Animal Models - Female Rat with Tumor V1-x,
MODEL_RAT567_M,1.0.0,Big Male Rat V1.0,ViZoo V1,MODEL_RAT567_M,V1.0,ok,21,Animal Models - Big Male Rat V1-x,2 together
MODEL_RAT567_M,1.0.0,Big Male Rat V1.0,ViZoo V1,MODEL_RAT567_M,V1.0,ok,111,Animal Models - Posable Big Male Rat V1-x,
MODEL_PIG_M,1.0.0,Male Pig V1.0,ViZoo V1 – Pig,MODEL_PIG_M,V1.0,ok,30,Animal Models - Male Pig V1-0,
MODEL_PIG_M,1.0.0,Male Pig V1.0,ViZoo V1 – Pig,MODEL_PIG_M,V1.0,ok,165,Animal Models - Male Pig V1.1,MD: different version
MODEL_MONKEY_POSABLE,3.0.0,Female Rhesus Monkey V3.0,ViZoo V3 – Monkey,MODEL_MONKEY_POSABLE,V3.0,ok,121,Animal Models - Female Rhesus Monkey,
MODEL_NEURORAT_M_POSABLE,4.0.0,Neurorat V4.0,ViZoo V4 – NeuroRat,MODEL_NEURORAT_M_POSABLE,V4.0,ok,136,Animal Models - Neurorat V4.0,
